Date,AUD,EUR,CAN,CNY
Mar-09,1.5071,0.7677,1.2634,6.8261
Feb-09,1.5378,0.7803,1.241,6.8264
Jan-09,1.471,0.7491,1.222,6.8238
Dec-08,1.4956,0.7438,1.2351,6.8422
Nov-08,1.523,0.7867,1.2208,6.8178
Oct-08,1.4526,0.7491,1.1719,6.8235
Sep-08,1.2142,0.6947,1.0562,6.8249
Aug-08,1.1302,0.6671,1.0512,6.8411
Jul-08,1.0378,0.6336,1.0126,6.8266
Jun-08,1.0502,0.6421,1.0151,6.8913
May-08,1.0541,0.6426,1.0011,6.9648
Apr-08,1.0755,0.6344,1.0137,6.992
Mar-08,1.082,0.6458,1.0002,7.0669
Feb-08,1.0992,0.6792,1.0015,7.161
Jan-08,1.1354,0.6801,1.0104,7.2387
Dec-07,1.1455,0.6868,1.0009,7.3631
Nov-07,1.1116,0.6818,0.962,7.4134
Oct-07,1.1128,0.7028,0.9762,7.4935
Sep-07,1.1851,0.7202,1.0296,7.5135
Aug-07,1.2036,0.7335,1.0582,7.5648
Jul-07,1.1548,0.7295,1.0516,7.5677
Jun-07,1.1883,0.7451,1.0652,7.6239
May-07,1.2124,0.7394,1.0973,7.6683
Apr-07,1.2106,0.7407,1.1369,7.7151
Mar-07,1.2627,0.7553,1.1695,7.7286
Feb-07,1.2787,0.7653,1.171,7.7431
Jan-07,1.2763,0.7692,1.174,7.7815
Dec-06,1.2724,0.7575,1.1522,7.8128
Nov-06,1.2959,0.7774,1.1351,7.8556
Oct-06,1.328,0.7924,1.1271,7.8932
Sep-06,1.3219,0.7849,1.115,7.9262
Aug-06,1.3105,0.7809,1.1204,7.9648
Jul-06,1.3306,0.787,1.1264,7.9792
Jun-06,1.3488,0.7891,1.1127,7.9987
May-06,1.3086,0.7834,1.1103,8.0045
Apr-06,1.3627,0.8166,1.1466,8.0053
Mar-06,1.3731,0.8318,1.1552,8.0309
Feb-06,1.3473,0.8365,1.1492,8.048
Jan-06,1.3356,0.827,1.1587,8.0619
Dec-05,1.3471,0.8435,1.1618,8.0709
Nov-05,1.3593,0.848,1.1816,8.0769
Oct-05,1.325,0.8308,1.1767,8.0762
Sep-05,1.3063,0.8148,1.1788,8.079
Aug-05,1.3123,0.8133,1.2059,8.0916
Jul-05,1.3281,0.8303,1.2241,8.2181
Jun-05,1.3048,0.8217,1.2409,8.2665
May-05,1.3043,0.7876,1.2556,8.2665
Apr-05,1.2925,0.7725,1.2338,8.2665
Mar-05,1.2727,0.7573,1.2158,8.2665
Feb-05,1.2791,0.7688,1.2385,8.2665
Jan-05,1.3042,0.7609,1.2221,8.2665
Dec-04,1.3032,0.7464,1.2169,8.2665
Nov-04,1.2955,0.769,1.1949,8.2665
Oct-04,1.3623,0.7994,1.2475,8.2659
Sep-04,1.4258,0.8191,1.2904,8.2667
Aug-04,1.4053,0.8197,1.3131,8.2639
Jul-04,1.3961,0.8146,1.3213,8.2661
Jun-04,1.4383,0.823,1.3595,8.2667
May-04,1.4172,0.8332,1.3768,8.2671
Apr-04,1.3377,0.8324,1.3383,8.2659
Mar-04,1.3337,0.8151,1.3283,8.2671
Feb-04,1.2887,0.7924,1.3282,8.2671
Jan-04,1.3014,0.7937,1.2958,8.267
Dec-03,1.3534,0.8134,1.3128,8.267
Nov-03,1.3963,0.8538,1.3115,8.2669
Oct-03,1.4439,0.8543,1.3229,8.2668
Sep-03,1.5103,0.8889,1.3633,8.2672
Aug-03,1.533,0.8964,1.3943,8.267
Jul-03,1.509,0.8783,1.3767,8.2673
Jun-03,1.5054,0.8565,1.3522,8.2671
May-03,1.5446,0.8654,1.3852,8.2669
Apr-03,1.6403,0.9208,1.457,8.2672
Mar-03,1.6607,0.9271,1.4762,8.2673
Feb-03,1.6843,0.9276,1.5145,8.2679
Jan-03,1.7175,0.9417,1.5425,8.2672
Dec-02,1.7764,0.9805,1.5586,8.2671
Nov-02,1.7804,0.9978,1.5707,8.2671
Oct-02,1.8175,1.0192,1.5793,8.2671
Sep-02,1.8265,1.0204,1.5725,8.2663
Aug-02,1.8463,1.0221,1.5686,8.2667
Jul-02,1.8058,1.0071,1.5433,8.2668
Jun-02,1.7593,1.0473,1.5307,8.267
May-02,1.8206,1.0905,1.5503,8.2671
Apr-02,1.8651,1.1285,1.5808,8.2672
Mar-02,1.9031,1.1417,1.587,8.2671
Feb-02,1.9491,1.1489,1.5946,8.2667
Jan-02,1.9334,1.1305,1.6004,8.2666
Dec-01,1.9437,1.1208,1.5777,8.2669
Nov-01,1.9361,1.1249,1.5943,8.2672
Oct-01,1.9799,1.1036,1.5697,8.2668
Sep-01,1.9683,1.0959,1.5652,8.2731
Aug-01,1.9056,1.1097,1.5379,8.277
Jul-01,1.9624,1.1617,1.529,8.2769
Jun-01,1.9297,1.171,1.5248,8.277
May-01,1.9186,1.1404,1.5404,8.2772
Apr-01,1.9896,1.1201,1.5583,8.2772
Mar-01,1.9787,1.0983,1.5568,8.2776
Feb-01,1.868,1.0837,1.5206,8.277
Jan-01,1.7972,1.064,1.5025,8.2775
Dec-00,1.8257,1.1109,1.5221,8.2772
Nov-00,1.9148,1.1703,1.5421,8.2773
Oct-00,1.8845,1.1685,1.5106,8.2786
Sep-00,1.8016,1.1462,1.4825,8.2786
Aug-00,1.7189,1.1039,1.4824,8.2796
Jul-00,1.6975,1.0631,1.4777,8.2793
Jun-00,1.6849,1.0528,1.4764,8.2771
May-00,1.7252,1.1005,1.4937,8.2781
Apr-00,1.6741,1.0562,1.4665,8.2792
Mar-00,1.639,1.035,1.4599,8.2786
Feb-00,1.5899,1.0159,1.4487,8.2781
Jan-00,1.5213,0.9874,1.4477,8.2793
Dec-99,1.5619,0.9888,1.4731,8.2617
Nov-99,1.5631,0.9676,1.4658,8.27
Oct-99,1.5359,0.9336,1.476,8.2775
Sep-99,1.5403,0.953,1.477,8.2774
Aug-99,1.5506,0.9421,1.4926,8.2773
Jul-99,1.5192,0.9661,1.4858,8.2777
Jun-99,1.5206,0.9621,1.4676,8.2781
May-99,1.5105,0.9413,1.461,8.2784
Apr-99,1.5578,0.933,1.4876,8.2791
